year,title,studios,authors,themes,genres,tags,bangumi_tags,extra_tags,active,bgm_subject_id,bgm_url,matched_name_cn,matched_name,match_score,match_level
2025,乱马二分之一,MAPPA|小学館|高澤邦仁|大塚学|沢辺伸政|佐藤貴博|長谷川博哉|岡田拓郎,高橋留美子,恋爱|喜剧|日常|搞笑|奇幻|战斗|校园,恋爱|喜剧|日常|搞笑|奇幻|战斗,恋爱|喜剧|日常|搞笑|奇幻|战斗|校园|MAPPA|2025年10月|漫画改|TV|性转|高桥留美子|日本|漫改|重制|宇田钢之介|续作|宇田鋼之介|未定档|乱马|2025年|季番|2|林原めぐみ|乱马1|重置|上野贵美子|动画,MAPPA|恋爱|2025年10月|漫画改|TV|喜剧|性转|日常|搞笑|奇幻|高桥留美子|日本|漫改|重制|战斗|宇田钢之介|校园|续作|宇田鋼之介|未定档|乱马|2025年|季番|2|林原めぐみ|乱马1|重置|上野贵美子|动画,,true,529966,https://bgm.tv/subject/529966,乱马1/2 第二季,らんま1/2 第2期,46.15,low
2025,剧场版 蕾塞篇,杉山絢夏|淡輪雄介|平山涼香|mappa records (松尾英児|小川智弘|横田真広|村岡尚武|福島実紅,藤本タツキ|「少年ジャンプ＋」編集部 (中路靖二郎|内田聡司)|「少年ジャンプ」編集部,战斗|热血|奇幻|恋爱,战斗|热血|奇幻|恋爱,战斗|热血|奇幻|恋爱|剧场版|MAPPA|藤本树|漫画改|电锯人|日本|漫改|我的心已被蕾塞夺走，今生或许再无悲喜|少年向|蕾塞|吉原达矢|吉原達矢|2025年|牛尾宪辅|猎奇|续作|2025年9月|瀬古浩司|牛尾憲輔|血腥|未定档|动画电影|JUMP|劇場版|2025年10月,剧场版|MAPPA|藤本树|漫画改|战斗|电锯人|日本|漫改|热血|我的心已被蕾塞夺走，今生或许再无悲喜|少年向|蕾塞|奇幻|恋爱|吉原达矢|吉原達矢|2025年|牛尾宪辅|猎奇|续作|2025年9月|瀬古浩司|牛尾憲輔|血腥|未定档|动画电影|JUMP|劇場版|2025年10月,,true,470660,https://bgm.tv/subject/470660,剧场版 链锯人 蕾塞篇,劇場版 チェンソーマン レゼ篇,80.00,low
2025,古诺希亚,清水博之|高橋祐馬|鳥羽洋典|淀明子|足立和紀|清水広美|君島裕喜|岡田武士,プチデポット,悬疑|科幻|推理|恋爱,悬疑|科幻|推理|恋爱,悬疑|科幻|推理|恋爱|游戏改|2025年10月|花田十辉|轮回|TV|domerica|日本|Aniplex|市川量也|SF|2025年|狼人杀|智斗|10月|藤村鼓乃美|花田十輝|2026年1月|ドメリカ|GAL改|早见沙织|鬼頭明里|半年番|TVA|古诺希亚,游戏改|悬疑|科幻|2025年10月|花田十辉|轮回|TV|domerica|推理|日本|Aniplex|市川量也|SF|2025年|狼人杀|智斗|10月|藤村鼓乃美|花田十輝|2026年1月|恋爱|ドメリカ|GAL改|早见沙织|鬼頭明里|半年番|TVA|古诺希亚,,true,526448,https://bgm.tv/subject/526448,古诺希亚,グノーシア,215.00,high
2025,吊带袜天使,GAINAX|角川映画|クロックワークス|AT-X|ソニーPCL|ムービック|安田猛|武田康廣,GAINAX,搞笑|战斗|奇幻,搞笑|战斗|奇幻,搞笑|战斗|奇幻|GAINAX|今石洋之|美式|原创|重口|恶搞|TV|下限|2010年10月|飞天小女警×光之美少女|日本|Stocking！|成年小女警|没有穿|吊带袜天使|飞天小女警|猎奇|锦织敦史|2010年|反差值|神作|无下限|TRIGGER|neta|节操|糟糕,GAINAX|今石洋之|美式|原创|重口|恶搞|TV|下限|2010年10月|搞笑|战斗|飞天小女警×光之美少女|日本|Stocking！|成年小女警|奇幻|没有穿|吊带袜天使|飞天小女警|猎奇|锦织敦史|2010年|反差值|神作|无下限|TRIGGER|neta|节操|糟糕,,true,8402,https://bgm.tv/subject/8402,吊带袜天使,Panty & Stocking with Garterbelt,215.00,high
2025,噗妮露是可爱史莱姆,テレビ東京|小学館|小学館集英社プロダクション|齋藤雅哉|山田祥子|尾村明洋|佐野航|浜口響子,まえだくん,搞笑|日常|奇幻|校园|萌|恋爱|治愈|喜剧,搞笑|日常|奇幻|校园|萌|恋爱,搞笑|日常|奇幻|校园|萌|恋爱|治愈|喜剧|漫画改|2024年10月|TV|TOHOanimationSTUDIO|萝莉|日本|漫改|子供向|横手美智子|伊部勇志|史莱姆|电波|猎奇|可爱|噗妮露是可爱史莱姆|2024年|2024秋|季番|篠原侑|2020s|第一季,搞笑|漫画改|日常|2024年10月|TV|TOHOanimationSTUDIO|萝莉|日本|漫改|子供向|横手美智子|伊部勇志|奇幻|校园|萌|恋爱|史莱姆|治愈|喜剧|电波|猎奇|可爱|噗妮露是可爱史莱姆|2024年|2024秋|季番|篠原侑|2020s|第一季,,true,470045,https://bgm.tv/subject/470045,噗妮露是可爱史莱姆,ぷにるはかわいいスライム,215.00,high
2025,妙屋少女的呢喃,TOHO animation STUDIO×OLM|山田祥子|海老原麻里|イマジカインフォス|OLM|電通|スクウェア|長岡徹郎,日向夏,推理|悬疑|治愈|恋爱|日常|搞笑|奇幻,推理|悬疑|治愈|恋爱|日常|搞笑,推理|悬疑|治愈|恋爱|日常|搞笑|奇幻|2023年10月|轻小说改|TV|中国风|悠木碧|OLM|TOHOanimationSTUDIO|轻改|小说改|日本|東宝|宫廷|長沼範裕|2023年|长沼范裕|药屋少女的呢喃|中华风|漫画改|女性向|古风|国风,推理|2023年10月|轻小说改|TV|中国风|悠木碧|OLM|TOHOanimationSTUDIO|悬疑|轻改|治愈|小说改|日本|恋爱|東宝|宫廷|日常|長沼範裕|2023年|搞笑|长沼范裕|药屋少女的呢喃|中华风|漫画改|女性向|古风|奇幻|国风,,true,420628,https://bgm.tv/subject/420628,药屋少女的呢喃,薬屋のひとりごと,85.71,medium
2025,小城日常,ABCアニメーション|ポニーキャニオン|八田陽子|安井一成|菊池貞和|角田真敏|八田英明,あらゐけいいち,日常|搞笑|治愈|喜剧|轻百合|校园|萌|青春|小城日常|奇幻,日常|搞笑|治愈|喜剧|轻百合|校园,日常|搞笑|治愈|喜剧|轻百合|校园|萌|青春|小城日常|奇幻|京阿尼|2025年7月|漫画改|TV|京都动画|石立太一|日本|电波|漫改|京都アニメーション|青年向|新井圭一|群像|2025年|7月|2020s|小松未可子|石川由依|TVA,京阿尼|日常|2025年7月|漫画改|TV|搞笑|京都动画|石立太一|日本|电波|漫改|京都アニメーション|青年向|治愈|新井圭一|群像|喜剧|2025年|轻百合|校园|萌|青春|7月|小城日常|奇幻|2020s|小松未可子|石川由依|TVA,,true,514358,https://bgm.tv/subject/514358,小城日常,CITY THE ANIMATION,215.00,high
2025,小市民,NBCユニバーサル|エンターテイメント|网易游戏|東京創元社|名古屋テレビ|ムービック|テレビ朝日ミュージック|BS朝日,米澤穂信『春期限定いちごタルト事件』『夏期限定トロピカルパフェ事件』|桂島浩輔|髙塚菜月,推理|校园|日常|恋爱|悬疑|青春|日常推理,推理|校园|日常|恋爱|悬疑|青春,推理|校园|日常|恋爱|悬疑|青春|日常推理|2024年7月|米泽穗信|小说改|TV|LapinTrack|轻小说改|轻改|羊宮妃那|神户守|日本|神戸守|大野敏哉|2024年|小市民系列|斋藤敦史|ラパントラック|小市民|米澤穂信|武内宣之|季番|2024夏|电影感,推理|2024年7月|米泽穗信|小说改|TV|LapinTrack|校园|日常|轻小说改|恋爱|轻改|羊宮妃那|神户守|日本|神戸守|悬疑|大野敏哉|2024年|小市民系列|斋藤敦史|ラパントラック|青春|小市民|米澤穂信|武内宣之|季番|2024夏|电影感|日常推理,,true,474906,https://bgm.tv/subject/474906,小市民系列,小市民シリーズ,110.00,medium
2025,彻夜之歌,Aniplex|小学館|小学館集英社プロダクション|ウルトラスーパーピクチャーズ|トーハン|アニマックスブロードキャスト|ジャパン|電通,コトヤマ,恋爱|奇幻|日常|搞笑|治愈|青春,恋爱|奇幻|日常|搞笑|治愈|青春,恋爱|奇幻|日常|搞笑|治愈|青春|吸血鬼|2022年7月|漫画改|TV|LIDENFILMS|漫改|雨宫天|板村智幸|日本|noitaminA|横手美智子|少年向|彻夜之歌|2022年|电波|纯爱|都市|宮西哲也|夜晚|宫西哲也|日本动画|琴山|ライデンフィルム,恋爱|吸血鬼|奇幻|2022年7月|漫画改|TV|LIDENFILMS|漫改|日常|搞笑|雨宫天|板村智幸|日本|noitaminA|横手美智子|少年向|彻夜之歌|2022年|治愈|电波|青春|纯爱|都市|宮西哲也|夜晚|宫西哲也|日本动画|琴山|ライデンフィルム,,true,356774,https://bgm.tv/subject/356774,彻夜之歌,よふかしのうた,215.00,high
2025,忍者与杀手二人组的日常生活,吉澤美由希|ハートカンパニー|斎藤滋|タノウエマモル|齋藤拓夢|西部真帆|庄田愛海|SHAFT,ハンバーガー,百合|日常|喜剧|搞笑|战斗|轻百合|萌|忍者与杀手二人组的日常生活|奇幻|治愈,百合|日常|喜剧|搞笑|战斗|轻百合,百合|日常|喜剧|搞笑|战斗|轻百合|萌|忍者与杀手二人组的日常生活|奇幻|治愈|漫画改|2025年4月|SHAFT|TV|猎奇|日本|漫改|宫本幸裕|宮本幸裕|忍者|2025年|杀手|地狱笑话|轻百|地狱|季番|黑色幽默|TVA|西部真帆,百合|漫画改|2025年4月|SHAFT|日常|喜剧|TV|搞笑|猎奇|日本|漫改|战斗|宫本幸裕|宮本幸裕|轻百合|忍者|2025年|萌|杀手|地狱笑话|轻百|地狱|忍者与杀手二人组的日常生活|季番|奇幻|黑色幽默|TVA|治愈|西部真帆,,true,491569,https://bgm.tv/subject/491569,忍者与杀手二人组的日常生活,忍者と殺し屋のふたりぐらし,215.00,high
